var,region,unit,window,cesm_residual,cesm_residual_se,cesm_all,emu_residual,emu_residual_se,emu_all
TREFHT,Arctic (60-90N),K,2041-2050,1.218,0.403,4.242,2.142,0.214,4.674
TREFHT,N. mid-lat (30-60N),K,2041-2050,0.846,0.196,1.878,1.308,0.137,2.091
TREFHT,Tropics (20S-20N),K,2041-2050,0.408,0.085,1.928,0.623,0.112,1.917
TREFHT,S. mid-lat (60-30S),K,2041-2050,0.0,0.092,1.533,0.206,0.09,1.532
TREFHT,Antarctic (90-60S),K,2041-2050,0.075,0.246,2.925,0.372,0.209,2.985
TREFHT,Europe,K,2041-2050,0.86,0.203,1.8,1.488,0.114,2.138
TREFHT,East Asia,K,2041-2050,0.824,0.117,1.848,1.045,0.124,1.864
TREFHT,South Asia,K,2041-2050,0.401,0.098,1.889,0.583,0.108,1.892
TREFHT,N. America,K,2041-2050,0.875,0.17,2.278,1.222,0.159,2.509
TREFHT,N. Atlantic,K,2041-2050,1.162,0.376,0.236,1.784,0.097,0.706
TREFHT,N. Pacific,K,2041-2050,0.777,0.175,1.373,1.287,0.156,1.553
TREFHT,Sahel / W. Africa,K,2041-2050,0.581,0.125,2.448,0.855,0.084,2.443
TREFHT,Maritime Continent,K,2041-2050,0.326,0.045,1.688,0.571,0.074,1.76
PRECT,Arctic (60-90N),%,2041-2050,0.108,0.066,0.145,0.148,0.051,0.164
PRECT,N. mid-lat (30-60N),%,2041-2050,0.078,0.082,0.027,0.101,0.077,0.04
PRECT,Tropics (20S-20N),%,2041-2050,0.037,0.232,0.059,0.077,0.24,0.07
PRECT,S. mid-lat (60-30S),%,2041-2050,0.008,0.079,0.022,0.018,0.071,0.018
PRECT,Antarctic (90-60S),%,2041-2050,0.01,0.044,0.226,0.022,0.041,0.233
PRECT,Europe,%,2041-2050,0.114,0.063,-0.019,0.141,0.056,-0.02
PRECT,East Asia,%,2041-2050,0.079,0.14,-0.08,0.113,0.137,-0.06
PRECT,South Asia,%,2041-2050,0.343,0.184,0.229,0.443,0.151,0.284
PRECT,N. America,%,2041-2050,0.061,0.079,0.096,0.114,0.075,0.099
PRECT,N. Atlantic,%,2041-2050,0.103,0.083,-0.064,0.153,0.067,-0.008
PRECT,N. Pacific,%,2041-2050,0.075,0.101,0.059,0.09,0.1,0.09
PRECT,Sahel / W. Africa,%,2041-2050,0.322,0.09,0.066,0.378,0.086,0.093
PRECT,Maritime Continent,%,2041-2050,-0.162,0.351,-0.25,-0.0,0.347,-0.183
