var,side,decade,unit,all,ghg,aaer,sum,residual,residual_se,residual_pct_of_all
TREFHT,CESM2,1850-1859,K,-0.041,0.021,0.028,0.048,-0.089,0.07,218.9
TREFHT,CESM2,1860-1869,K,-0.045,0.049,-0.008,0.042,-0.086,0.067,193.6
TREFHT,CESM2,1870-1879,K,0.044,0.073,0.019,0.092,-0.048,0.065,-107.3
TREFHT,CESM2,1880-1889,K,-0.02,0.112,-0.007,0.105,-0.125,0.064,615.5
TREFHT,CESM2,1890-1899,K,0.053,0.167,-0.054,0.113,-0.059,0.064,-111.2
TREFHT,CESM2,1900-1909,K,0.017,0.199,-0.101,0.097,-0.08,0.063,-461.5
TREFHT,CESM2,1910-1919,K,0.002,0.243,-0.173,0.07,-0.069,0.069,-4360.7
TREFHT,CESM2,1920-1929,K,0.144,0.294,-0.215,0.08,0.064,0.067,44.4
TREFHT,CESM2,1930-1939,K,0.19,0.323,-0.203,0.12,0.07,0.065,36.7
TREFHT,CESM2,1940-1949,K,0.196,0.432,-0.232,0.201,-0.005,0.065,-2.5
TREFHT,CESM2,1950-1959,K,0.2,0.472,-0.293,0.179,0.021,0.063,10.6
TREFHT,CESM2,1960-1969,K,0.09,0.526,-0.463,0.062,0.027,0.066,30.5
TREFHT,CESM2,1970-1979,K,0.236,0.683,-0.548,0.135,0.101,0.067,42.7
TREFHT,CESM2,1980-1989,K,0.36,0.893,-0.666,0.227,0.134,0.073,37.1
TREFHT,CESM2,1990-1999,K,0.493,1.136,-0.738,0.398,0.095,0.076,19.4
TREFHT,CESM2,2000-2009,K,0.889,1.294,-0.729,0.565,0.324,0.075,36.5
TREFHT,CESM2,2010-2019,K,1.137,1.438,-0.761,0.677,0.459,0.073,40.4
TREFHT,CESM2,2020-2029,K,1.32,1.709,-0.808,0.901,0.419,0.086,31.8
TREFHT,CESM2,2030-2039,K,1.618,2.048,-0.8,1.248,0.37,0.09,22.9
TREFHT,CESM2,2040-2049,K,1.989,2.386,-0.827,1.559,0.431,0.1,21.6
TREFHT,emulator,1850-1859,K,-0.033,-0.044,-0.113,-0.157,0.124,0.091,-380.7
TREFHT,emulator,1860-1869,K,-0.058,-0.042,-0.121,-0.163,0.105,0.106,-181.3
TREFHT,emulator,1870-1879,K,-0.062,-0.021,-0.128,-0.149,0.086,0.09,-138.6
TREFHT,emulator,1880-1889,K,-0.069,0.008,-0.146,-0.138,0.069,0.101,-100.8
TREFHT,emulator,1890-1899,K,-0.083,0.019,-0.209,-0.19,0.107,0.083,-128.9
